parent_material_id,child_material_id,quantity
MAT_T0_00558,MAT_T1_02230,2.38
MAT_T0_00560,MAT_T1_05685,8.35
MAT_T0_00560,MAT_T1_04130,1.59
MAT_T0_00560,MAT_T1_01171,4.77
MAT_T0_00560,MAT_T1_01044,8.13
MAT_T0_00560,MAT_T1_03299,2.7
MAT_T0_00574,MAT_T1_06341,7.49
MAT_T0_00574,MAT_T1_01736,14.48
MAT_T0_00574,MAT_T1_04265,6.12
MAT_T0_00574,MAT_T1_00212,19.46
MAT_T0_00574,MAT_T1_03642,18.29
MAT_T0_00582,MAT_T1_01825,10.51
MAT_T0_00582,MAT_T1_04246,5.69
MAT_T0_00593,MAT_T1_05259,18.57
MAT_T0_00593,MAT_T1_02726,18.92
MAT_T0_00599,MAT_T1_02460,9.59
MAT_T0_00599,MAT_T1_05179,19.78
MAT_T0_00607,MAT_T1_00246,4.77
MAT_T0_00642,MAT_T1_02940,19.85
MAT_T0_00642,MAT_T1_06581,17.1
MAT_T0_00642,MAT_T1_03464,7.73
MAT_T0_00642,MAT_T1_03088,8.8
MAT_T0_00646,MAT_T1_04499,1.54
MAT_T0_00701,MAT_T1_02448,12.42
MAT_T0_00701,MAT_T1_00056,8.86
MAT_T0_00701,MAT_T1_00874,19.61
MAT_T0_00701,MAT_T1_00971,3.89
MAT_T0_00710,MAT_T1_01515,14.12
MAT_T0_00710,MAT_T1_02289,13.38
MAT_T0_00710,MAT_T1_05458,14.81
MAT_T0_00710,MAT_T1_04071,15.55
MAT_T0_00710,MAT_T1_06170,15.13
MAT_T0_00710,MAT_T1_04889,16.26
MAT_T0_00710,MAT_T1_02873,8.42
MAT_T0_00710,MAT_T1_01264,11.08
MAT_T0_00718,MAT_T1_05594,15.94
MAT_T0_00718,MAT_T1_04006,2.05
MAT_T0_00718,MAT_T1_06807,12.04
MAT_T0_00732,MAT_T1_06562,19.62
MAT_T0_00732,MAT_T1_04711,12.12
MAT_T0_00732,MAT_T1_00201,5.91
MAT_T0_00764,MAT_T1_06324,8.72
MAT_T0_00764,MAT_T1_06057,18.46
MAT_T0_00764,MAT_T1_00870,7.85
MAT_T0_00775,MAT_T1_05725,16.27
MAT_T0_00775,MAT_T1_01118,16.02
MAT_T0_00775,MAT_T1_00709,17.27
MAT_T0_00775,MAT_T1_01916,15.32
MAT_T0_00775,MAT_T1_04379,19.0
MAT_T0_00801,MAT_T1_02580,12.94
MAT_T0_00801,MAT_T1_02964,11.68
MAT_T0_00801,MAT_T1_05503,4.59
MAT_T0_00820,MAT_T1_04927,14.13
MAT_T0_00820,MAT_T1_04835,4.28
MAT_T0_00820,MAT_T1_00330,10.25
MAT_T0_00820,MAT_T1_00137,11.84
MAT_T0_00826,MAT_T1_06856,5.85
MAT_T0_00826,MAT_T1_06100,12.65
MAT_T0_00826,MAT_T1_03695,8.36
MAT_T0_00826,MAT_T1_01231,11.95
MAT_T0_00826,MAT_T1_03261,6.58
MAT_T0_00826,MAT_T1_01866,16.87
MAT_T0_00826,MAT_T1_06237,19.64
MAT_T0_00826,MAT_T1_03892,15.28
MAT_T0_00886,MAT_T1_04965,7.51
MAT_T0_00886,MAT_T1_03875,10.51
MAT_T0_00886,MAT_T1_04558,19.38
MAT_T0_00886,MAT_T1_01308,3.13
MAT_T0_00886,MAT_T1_04964,19.37
MAT_T0_00913,MAT_T1_00664,6.81
MAT_T0_00913,MAT_T1_06694,12.02
MAT_T0_00913,MAT_T1_04671,15.88
MAT_T0_00913,MAT_T1_02170,14.25
MAT_T0_00913,MAT_T1_02907,7.06
MAT_T0_00919,MAT_T1_01873,5.45
MAT_T0_00927,MAT_T1_01170,16.64
MAT_T0_00927,MAT_T1_04367,9.03
MAT_T0_00927,MAT_T1_02220,18.28
MAT_T0_00927,MAT_T1_05824,10.77
MAT_T0_00927,MAT_T1_02413,10.24
MAT_T0_00957,MAT_T1_00969,11.57
MAT_T0_00957,MAT_T1_00456,18.97
MAT_T0_00957,MAT_T1_00502,3.38
MAT_T0_00957,MAT_T1_00966,14.53
MAT_T0_00957,MAT_T1_04658,6.39
MAT_T0_00957,MAT_T1_00107,13.47
MAT_T0_00957,MAT_T1_04846,9.52
MAT_T0_00975,MAT_T1_00727,6.35
MAT_T0_00975,MAT_T1_02579,14.28
MAT_T0_00975,MAT_T1_00391,17.21
MAT_T0_00975,MAT_T1_02907,4.3
MAT_T0_00975,MAT_T1_05990,14.41
MAT_T0_00975,MAT_T1_03210,13.1
MAT_T0_00975,MAT_T1_05900,17.9
MAT_T0_00988,MAT_T1_02627,14.56
MAT_T0_00988,MAT_T1_03400,15.7
MAT_T0_01055,MAT_T1_05708,5.05
MAT_T0_01055,MAT_T1_02139,4.21
MAT_T0_01055,MAT_T1_06626,11.16
MAT_T0_01103,MAT_T1_04911,17.33
MAT_T0_01103,MAT_T1_03920,13.51
MAT_T0_01130,MAT_T1_06057,13.53
MAT_T0_01130,MAT_T1_05855,1.92
MAT_T0_01130,MAT_T1_01231,3.63
MAT_T0_01134,MAT_T1_03598,16.73
MAT_T0_01134,MAT_T1_04100,7.49
MAT_T0_01134,MAT_T1_02960,11.65
MAT_T0_01134,MAT_T1_06614,17.79
MAT_T0_01134,MAT_T1_04782,14.85
MAT_T0_01134,MAT_T1_04911,2.23
MAT_T0_01134,MAT_T1_01032,10.97
MAT_T0_01139,MAT_T1_04867,16.02
MAT_T0_01139,MAT_T1_00376,6.27
MAT_T0_01139,MAT_T1_05454,18.71
MAT_T0_01144,MAT_T1_00021,3.2
MAT_T0_01144,MAT_T1_05048,8.91
MAT_T0_01144,MAT_T1_06100,2.45
MAT_T0_01144,MAT_T1_01190,18.73
MAT_T0_01147,MAT_T1_02772,2.55
MAT_T0_01147,MAT_T1_02723,2.96
MAT_T0_01147,MAT_T1_04130,12.07
MAT_T0_01147,MAT_T1_06718,10.59
MAT_T0_01159,MAT_T1_00583,17.59
MAT_T0_01159,MAT_T1_06100,10.3
MAT_T0_01159,MAT_T1_04788,19.23
MAT_T0_01159,MAT_T1_03981,16.45
MAT_T0_01159,MAT_T1_03241,13.74
MAT_T0_01159,MAT_T1_01807,18.43
MAT_T0_01159,MAT_T1_03211,17.3
MAT_T0_01168,MAT_T1_03705,19.43
MAT_T0_01177,MAT_T1_01877,10.17
MAT_T0_01177,MAT_T1_02580,6.56
MAT_T0_01177,MAT_T1_05138,13.82
MAT_T0_01177,MAT_T1_06978,19.45
MAT_T0_01189,MAT_T1_05124,9.91
MAT_T0_01189,MAT_T1_04789,11.65
MAT_T0_01189,MAT_T1_00029,3.3
MAT_T0_01189,MAT_T1_00529,3.79
MAT_T0_01216,MAT_T1_02584,2.64
MAT_T0_01216,MAT_T1_01807,13.35
MAT_T0_01216,MAT_T1_03651,15.65
MAT_T0_01216,MAT_T1_01003,16.74
MAT_T0_01216,MAT_T1_01594,11.46
MAT_T0_01247,MAT_T1_01669,15.34
MAT_T0_01258,MAT_T1_04314,10.18
MAT_T0_01279,MAT_T1_06148,12.68
MAT_T0_01279,MAT_T1_00583,13.65
MAT_T0_01313,MAT_T1_04379,14.83
MAT_T0_01340,MAT_T1_01507,18.3
MAT_T0_01340,MAT_T1_05708,17.03
MAT_T0_01340,MAT_T1_04535,11.44
MAT_T0_01340,MAT_T1_03947,5.09
MAT_T0_01347,MAT_T1_06036,19.95
MAT_T0_01347,MAT_T1_06687,9.73
MAT_T0_01363,MAT_T1_04367,6.84
MAT_T0_01467,MAT_T1_06967,19.53
MAT_T0_01467,MAT_T1_05536,15.6
MAT_T0_01467,MAT_T1_01322,1.02
MAT_T0_01474,MAT_T1_00124,13.97
MAT_T0_01474,MAT_T1_01916,15.16
MAT_T0_01482,MAT_T1_00096,17.01
MAT_T0_01482,MAT_T1_06227,1.4
MAT_T0_01486,MAT_T1_00456,15.76
MAT_T0_01486,MAT_T1_02627,11.03
MAT_T0_01486,MAT_T1_05048,10.73
MAT_T0_01486,MAT_T1_05450,14.93
MAT_T0_01509,MAT_T1_04558,10.48
MAT_T0_01509,MAT_T1_06122,16.97
MAT_T0_01509,MAT_T1_02373,15.3
MAT_T0_01509,MAT_T1_01708,1.67
MAT_T0_01509,MAT_T1_00345,19.31
MAT_T0_01531,MAT_T1_05417,5.46
MAT_T0_01545,MAT_T1_05232,6.16
MAT_T0_01560,MAT_T1_01574,11.28
MAT_T0_01560,MAT_T1_04558,17.44
MAT_T0_01560,MAT_T1_05108,18.74
MAT_T0_01560,MAT_T1_03248,4.34
MAT_T0_01573,MAT_T1_04367,13.79
MAT_T0_01573,MAT_T1_03821,6.11
MAT_T0_01573,MAT_T1_00567,7.47
MAT_T0_01573,MAT_T1_04964,7.02
MAT_T0_01573,MAT_T1_03118,3.53
MAT_T0_01675,MAT_T1_04889,2.71
MAT_T0_01675,MAT_T1_04233,12.36
MAT_T0_01675,MAT_T1_03947,4.04
MAT_T0_01675,MAT_T1_02982,2.96
MAT_T0_01690,MAT_T1_06151,10.47
MAT_T0_01690,MAT_T1_02907,11.97
MAT_T0_01691,MAT_T1_00026,6.84
MAT_T0_01691,MAT_T1_00391,15.53
MAT_T0_01691,MAT_T1_02024,15.34
MAT_T0_01694,MAT_T1_00587,2.11
MAT_T0_01694,MAT_T1_01878,3.38
MAT_T0_01694,MAT_T1_04566,15.12
MAT_T0_01694,MAT_T1_01851,13.6
MAT_T0_01694,MAT_T1_04236,18.18
MAT_T0_01694,MAT_T1_06412,7.56
MAT_T0_01694,MAT_T1_02409,19.11
MAT_T0_01733,MAT_T1_04024,5.23
MAT_T0_01733,MAT_T1_04643,1.19
MAT_T0_01740,MAT_T1_00328,7.37
MAT_T0_01740,MAT_T1_04829,9.22
MAT_T0_01740,MAT_T1_02788,7.51
MAT_T0_01740,MAT_T1_00383,13.3
MAT_T0_01740,MAT_T1_04130,6.16
MAT_T0_01740,MAT_T1_02411,8.59
MAT_T0_01756,MAT_T1_04994,11.92
MAT_T0_01756,MAT_T1_04006,19.69
MAT_T0_01756,MAT_T1_01209,2.18
MAT_T0_01756,MAT_T1_01264,16.17
MAT_T0_01756,MAT_T1_03761,16.97
MAT_T0_01756,MAT_T1_05893,17.72
MAT_T0_01756,MAT_T1_02105,8.59
MAT_T0_01756,MAT_T1_05010,18.56
MAT_T0_01756,MAT_T1_06588,8.76
MAT_T0_01781,MAT_T1_02190,9.26
MAT_T0_01781,MAT_T1_02024,5.12
MAT_T0_01781,MAT_T1_01364,5.9
MAT_T0_01781,MAT_T1_05110,3.84
MAT_T0_01786,MAT_T1_03892,5.39
MAT_T0_01786,MAT_T1_04265,3.66
MAT_T0_01786,MAT_T1_01639,15.94
MAT_T0_01786,MAT_T1_05450,17.24
MAT_T0_01833,MAT_T1_02268,13.81
MAT_T0_01833,MAT_T1_05143,4.54
MAT_T0_01842,MAT_T1_06122,1.67
MAT_T0_01842,MAT_T1_02186,16.39
MAT_T0_01842,MAT_T1_01044,14.63
MAT_T0_01895,MAT_T1_00502,6.93
MAT_T0_01895,MAT_T1_00056,13.44
MAT_T0_01895,MAT_T1_05725,5.77
MAT_T0_01895,MAT_T1_06145,18.03
MAT_T0_01898,MAT_T1_02170,6.07
MAT_T0_01898,MAT_T1_04665,4.63
MAT_T0_01898,MAT_T1_00100,17.85
MAT_T0_01923,MAT_T1_02056,13.01
MAT_T0_01923,MAT_T1_01223,11.21
MAT_T0_01932,MAT_T1_05407,5.0
MAT_T0_01934,MAT_T1_03088,15.55
MAT_T0_01934,MAT_T1_03999,2.57
MAT_T0_01934,MAT_T1_04262,7.84
MAT_T0_01934,MAT_T1_06597,10.25
MAT_T0_01958,MAT_T1_05792,6.12
MAT_T0_01958,MAT_T1_06511,5.16
MAT_T0_01958,MAT_T1_00106,2.92
MAT_T0_01961,MAT_T1_05460,15.3
MAT_T0_01961,MAT_T1_06637,14.05
MAT_T0_01961,MAT_T1_06524,3.16
MAT_T0_01961,MAT_T1_04024,19.04
MAT_T0_01976,MAT_T1_06039,1.31
MAT_T0_01976,MAT_T1_06827,19.57
MAT_T0_01976,MAT_T1_04160,12.93
MAT_T0_01976,MAT_T1_05705,6.62
MAT_T0_02001,MAT_T1_03917,2.82
MAT_T0_02001,MAT_T1_03299,10.3
MAT_T0_02001,MAT_T1_03211,14.24
MAT_T0_02001,MAT_T1_01468,16.04
MAT_T0_02032,MAT_T1_04835,9.27
MAT_T0_02032,MAT_T1_06486,1.57
MAT_T0_02032,MAT_T1_06967,4.92
MAT_T0_02032,MAT_T1_01600,3.76
MAT_T0_02035,MAT_T1_04711,9.14
MAT_T0_02035,MAT_T1_02081,11.06
MAT_T0_02035,MAT_T1_06694,12.72
MAT_T0_02035,MAT_T1_06296,6.0
MAT_T0_02036,MAT_T1_01311,16.25
MAT_T0_02036,MAT_T1_05477,1.72
MAT_T0_02036,MAT_T1_05865,12.46
MAT_T0_02036,MAT_T1_02226,12.66
MAT_T0_02036,MAT_T1_06601,12.54
MAT_T0_02043,MAT_T1_05438,17.39
MAT_T0_02084,MAT_T1_02211,2.8
MAT_T0_02084,MAT_T1_00786,10.69
MAT_T0_02084,MAT_T1_04044,15.39
MAT_T0_02084,MAT_T1_00213,16.66
MAT_T0_02084,MAT_T1_02554,8.99
MAT_T0_02084,MAT_T1_01708,7.56
MAT_T0_02087,MAT_T1_03981,13.94
MAT_T0_02087,MAT_T1_00786,14.82
MAT_T0_02130,MAT_T1_01268,1.22
MAT_T0_02130,MAT_T1_03626,9.28
MAT_T0_02160,MAT_T1_06697,8.66
MAT_T0_02160,MAT_T1_05460,9.7
MAT_T0_02160,MAT_T1_04311,19.82
MAT_T0_02160,MAT_T1_06615,10.39
MAT_T0_02160,MAT_T1_00345,9.95
MAT_T0_02194,MAT_T1_03184,9.14
MAT_T0_02194,MAT_T1_06000,3.7
MAT_T0_02194,MAT_T1_06100,12.09
MAT_T0_02194,MAT_T1_05551,14.76
MAT_T0_02195,MAT_T1_00942,6.9
MAT_T0_02195,MAT_T1_00009,17.27
MAT_T0_02195,MAT_T1_02448,8.24
MAT_T0_02195,MAT_T1_05503,3.9
MAT_T0_02195,MAT_T1_03651,7.18
MAT_T0_02195,MAT_T1_01877,11.75
MAT_T0_02202,MAT_T1_04275,5.33
MAT_T0_02202,MAT_T1_02582,12.47
MAT_T0_02202,MAT_T1_04630,12.69
MAT_T0_02202,MAT_T1_03176,18.42
MAT_T0_02202,MAT_T1_02171,6.49
MAT_T0_02202,MAT_T1_06045,4.82
MAT_T0_02202,MAT_T1_04410,11.69
MAT_T0_02204,MAT_T1_03565,7.88
MAT_T0_02204,MAT_T1_03116,15.8
MAT_T0_02204,MAT_T1_04410,13.41
MAT_T0_02213,MAT_T1_02097,2.42
MAT_T0_02228,MAT_T1_00566,2.02
MAT_T0_02228,MAT_T1_05392,15.03
MAT_T0_02228,MAT_T1_05098,2.73
MAT_T0_02228,MAT_T1_02264,13.58
MAT_T0_02228,MAT_T1_00297,14.99
MAT_T0_02237,MAT_T1_04864,4.89
MAT_T0_02237,MAT_T1_02151,14.39
MAT_T0_02237,MAT_T1_04104,4.53
MAT_T0_02237,MAT_T1_04071,18.99
MAT_T0_02237,MAT_T1_02313,4.89
MAT_T0_02237,MAT_T1_01747,18.44
MAT_T0_02237,MAT_T1_03853,9.59
MAT_T0_02237,MAT_T1_04191,11.72
MAT_T0_02237,MAT_T1_06788,12.37
MAT_T0_02237,MAT_T1_04829,2.24
MAT_T0_02283,MAT_T1_06961,6.74
MAT_T0_02283,MAT_T1_04194,10.87
MAT_T0_02283,MAT_T1_00034,8.53
MAT_T0_02283,MAT_T1_01032,19.43
MAT_T0_02283,MAT_T1_06126,1.44
MAT_T0_02283,MAT_T1_01223,9.4
MAT_T0_02283,MAT_T1_00330,19.55
MAT_T0_02283,MAT_T1_06314,15.17
MAT_T0_02283,MAT_T1_00099,8.85
MAT_T0_02301,MAT_T1_03248,14.13
MAT_T0_02301,MAT_T1_04700,13.62
MAT_T0_02301,MAT_T1_05893,10.77
MAT_T0_02301,MAT_T1_06036,12.67
MAT_T0_02301,MAT_T1_06540,12.97
MAT_T0_02310,MAT_T1_03080,15.95
MAT_T0_02310,MAT_T1_00969,12.71
MAT_T0_02310,MAT_T1_05014,1.44
MAT_T0_02310,MAT_T1_04536,4.76
MAT_T0_02310,MAT_T1_00566,2.84
MAT_T0_02311,MAT_T1_04410,13.58
MAT_T0_02311,MAT_T1_03159,13.13
MAT_T0_02311,MAT_T1_06788,11.63
MAT_T0_02316,MAT_T1_00124,7.65
MAT_T0_02316,MAT_T1_03116,10.33
MAT_T0_02318,MAT_T1_02635,16.87
MAT_T0_02318,MAT_T1_02913,5.84
MAT_T0_02318,MAT_T1_04443,10.38
MAT_T0_02318,MAT_T1_04558,5.05
MAT_T0_02318,MAT_T1_06061,19.25
MAT_T0_02325,MAT_T1_02470,17.76
MAT_T0_02325,MAT_T1_05689,15.14
MAT_T0_02325,MAT_T1_04622,15.94
MAT_T0_02325,MAT_T1_05799,18.95
MAT_T0_02342,MAT_T1_03598,1.57
MAT_T0_02342,MAT_T1_01308,7.3
MAT_T0_02342,MAT_T1_05190,9.3
MAT_T0_02342,MAT_T1_06045,18.45
MAT_T0_02356,MAT_T1_00908,9.41
MAT_T0_02356,MAT_T1_05844,16.18
MAT_T0_02356,MAT_T1_01938,6.76
MAT_T0_02379,MAT_T1_04710,2.72
MAT_T0_02379,MAT_T1_04643,11.04
MAT_T0_02406,MAT_T1_05689,19.56
MAT_T0_02406,MAT_T1_05208,6.2
MAT_T0_02406,MAT_T1_02514,16.49
MAT_T0_02415,MAT_T1_03892,12.76
MAT_T0_02415,MAT_T1_00430,10.56
MAT_T0_02415,MAT_T1_06334,8.51
MAT_T0_02415,MAT_T1_04285,15.19
MAT_T0_02415,MAT_T1_05277,2.1
MAT_T0_02415,MAT_T1_03515,5.56
MAT_T0_02429,MAT_T1_05328,19.09
MAT_T0_02429,MAT_T1_06036,4.14
MAT_T0_02429,MAT_T1_06659,18.68
MAT_T0_02429,MAT_T1_06206,6.67
MAT_T0_02429,MAT_T1_04191,17.62
MAT_T0_02429,MAT_T1_03088,7.81
MAT_T0_02429,MAT_T1_04217,11.04
MAT_T0_02429,MAT_T1_06341,12.3
MAT_T0_02430,MAT_T1_01841,4.55
MAT_T0_02430,MAT_T1_01115,2.94
MAT_T0_02435,MAT_T1_03914,1.61
MAT_T0_02435,MAT_T1_04187,5.47
MAT_T0_02487,MAT_T1_04739,1.1
MAT_T0_02487,MAT_T1_00621,11.37
MAT_T0_02503,MAT_T1_02197,12.82
MAT_T0_02503,MAT_T1_03622,8.25
MAT_T0_02503,MAT_T1_03356,1.01
MAT_T0_02503,MAT_T1_04447,6.69
MAT_T0_02519,MAT_T1_00567,8.64
MAT_T0_02519,MAT_T1_02220,9.38
MAT_T0_02519,MAT_T1_04966,9.73
MAT_T0_02544,MAT_T1_06140,9.09
MAT_T0_02544,MAT_T1_01209,4.54
MAT_T0_02544,MAT_T1_06788,3.2
MAT_T0_02544,MAT_T1_00831,7.42
MAT_T0_02547,MAT_T1_02554,11.47
MAT_T0_02547,MAT_T1_06061,8.77
MAT_T0_02547,MAT_T1_04311,10.55
MAT_T0_02547,MAT_T1_03400,18.6
MAT_T0_02547,MAT_T1_03853,2.33
MAT_T0_02550,MAT_T1_05927,6.96
MAT_T0_02550,MAT_T1_06625,12.44
MAT_T0_02550,MAT_T1_00435,5.08
MAT_T0_02550,MAT_T1_00421,8.08
MAT_T0_02550,MAT_T1_03211,17.06
MAT_T0_02550,MAT_T1_01209,8.9
MAT_T0_02560,MAT_T1_06860,10.8
MAT_T0_02560,MAT_T1_04275,7.0
MAT_T0_02560,MAT_T1_00020,1.01
MAT_T0_02560,MAT_T1_01042,17.39
MAT_T0_02560,MAT_T1_02336,4.18
MAT_T0_02586,MAT_T1_03708,3.01
MAT_T0_02586,MAT_T1_05010,17.64
MAT_T0_02586,MAT_T1_02019,1.59
MAT_T0_02586,MAT_T1_05439,4.5
MAT_T0_02586,MAT_T1_00100,6.59
MAT_T0_02593,MAT_T1_03875,18.31
MAT_T0_02593,MAT_T1_04846,11.62
MAT_T0_02593,MAT_T1_00982,8.31
MAT_T0_02593,MAT_T1_05708,18.37
MAT_T0_02593,MAT_T1_00971,16.36
MAT_T0_02618,MAT_T1_06283,15.64
MAT_T0_02618,MAT_T1_03176,3.2
MAT_T0_02618,MAT_T1_06341,18.35
MAT_T0_02618,MAT_T1_06000,12.88
MAT_T0_02659,MAT_T1_04056,7.38
MAT_T0_02659,MAT_T1_00345,11.94
MAT_T0_02659,MAT_T1_03914,13.77
MAT_T0_02753,MAT_T1_06227,11.11
MAT_T0_02753,MAT_T1_02334,2.55
MAT_T0_02753,MAT_T1_06100,9.23
MAT_T0_02753,MAT_T1_04379,13.55
MAT_T0_02779,MAT_T1_00746,12.6
MAT_T0_02779,MAT_T1_05011,3.8
MAT_T0_02779,MAT_T1_00056,17.16
MAT_T0_02779,MAT_T1_05620,14.44
MAT_T0_02779,MAT_T1_00100,15.27
MAT_T0_02779,MAT_T1_06637,19.01
