material_id,description,base_unit
MAT_T2_00071,Module_NMC,EA
MAT_T4_00072,Nickel_Class1,KG
MAT_T4_00073,Cobalt_Sulfate,KG
MAT_T3_00074,Cell_Cylindrical_4680,EA
MAT_T3_00075,Cell_Pouch,EA
MAT_T0_00076,EV_SUV,EA
MAT_T4_00077,Copper_Foil,KG
MAT_T0_00078,EV_SUV,EA
MAT_T4_00079,Graphite_Synth,KG
MAT_T3_00080,Cell_Cylindrical_4680,EA
MAT_T2_00081,Cooling_Plate,EA
MAT_T4_00082,Lithium_Hydroxide,KG
MAT_T0_00083,EV_Sedan,EA
MAT_T3_00084,Anode_Sheet,EA
MAT_T3_00085,Cell_Cylindrical_4680,EA
MAT_T2_00086,Module_LFP,EA
MAT_T3_00087,Anode_Sheet,EA
MAT_T4_00088,Cobalt_Sulfate,KG
MAT_T4_00089,Lithium_Hydroxide,KG
MAT_T0_00090,EV_Truck,EA
MAT_T4_00091,Lithium_Hydroxide,KG
MAT_T2_00092,Module_NMC,EA
MAT_T2_00093,BMS_Circuit,EA
MAT_T2_00094,Module_NMC,EA
MAT_T0_00095,EV_SUV,EA
MAT_T1_00096,Drive_Unit,EA
MAT_T4_00097,Lithium_Hydroxide,KG
MAT_T2_00098,Module_LFP,EA
MAT_T1_00099,Battery_Pack_HighRange,EA
MAT_T1_00100,Battery_Pack_HighRange,EA
MAT_T4_00101,Lithium_Hydroxide,KG
MAT_T4_00102,Copper_Foil,KG
MAT_T2_00103,Module_NMC,EA
MAT_T0_00104,EV_SUV,EA
MAT_T2_00105,BMS_Circuit,EA
MAT_T1_00106,Drive_Unit,EA
MAT_T1_00107,Battery_Pack_HighRange,EA
MAT_T3_00108,Anode_Sheet,EA
MAT_T2_00109,BMS_Circuit,EA
MAT_T3_00110,Cell_Cylindrical_4680,EA
MAT_T2_00111,Module_NMC,EA
MAT_T4_00112,Cobalt_Sulfate,KG
MAT_T4_00113,Lithium_Hydroxide,KG
MAT_T3_00114,Cell_Prismatic,EA
MAT_T3_00115,Anode_Sheet,EA
MAT_T3_00116,Cell_Cylindrical_4680,EA
MAT_T3_00117,Anode_Sheet,EA
MAT_T4_00118,Lithium_Hydroxide,KG
MAT_T3_00119,Anode_Sheet,EA
MAT_T4_00120,Lithium_Hydroxide,KG
MAT_T4_00121,Lithium_Hydroxide,KG
MAT_T2_00122,Cooling_Plate,EA
MAT_T3_00123,Cell_Cylindrical_4680,EA
MAT_T1_00124,Drive_Unit,EA
MAT_T2_00125,Module_NMC,EA
MAT_T3_00126,Cell_Prismatic,EA
MAT_T2_00127,Cooling_Plate,EA
MAT_T4_00128,Nickel_Class1,KG
MAT_T2_00129,Module_NMC,EA
MAT_T3_00130,Cell_Prismatic,EA
MAT_T3_00131,Anode_Sheet,EA
MAT_T4_00132,Graphite_Synth,KG
MAT_T3_00133,Cell_Prismatic,EA
MAT_T4_00134,Graphite_Synth,KG
MAT_T3_00135,Cell_Cylindrical_4680,EA
MAT_T3_00136,Cell_Cylindrical_4680,EA
MAT_T1_00137,Battery_Pack_Std,EA
MAT_T3_00138,Anode_Sheet,EA
MAT_T4_00139,Nickel_Class1,KG
MAT_T3_00140,Cell_Prismatic,EA
MAT_T4_00141,Copper_Foil,KG
MAT_T3_00142,Cell_Pouch,EA
MAT_T1_00143,Drive_Unit,EA
MAT_T0_00144,EV_Sedan,EA
MAT_T2_00145,Cooling_Plate,EA
MAT_T4_00146,Graphite_Synth,KG
MAT_T4_00147,Nickel_Class1,KG
MAT_T2_00148,Module_LFP,EA
MAT_T3_00149,Anode_Sheet,EA
MAT_T3_00150,Cell_Cylindrical_4680,EA
MAT_T3_00151,Anode_Sheet,EA
MAT_T2_00152,Cooling_Plate,EA
MAT_T1_00153,Battery_Pack_Std,EA
MAT_T2_00154,Cooling_Plate,EA
MAT_T1_00155,Battery_Pack_Std,EA
MAT_T2_00156,Module_NMC,EA
MAT_T0_00157,EV_Truck,EA
MAT_T3_00158,Anode_Sheet,EA
MAT_T2_00159,Module_NMC,EA
MAT_T4_00160,Cobalt_Sulfate,KG
MAT_T2_00161,BMS_Circuit,EA
MAT_T2_00162,BMS_Circuit,EA
MAT_T3_00163,Cell_Pouch,EA
MAT_T0_00164,EV_Sedan,EA
MAT_T4_00165,Nickel_Class1,KG
MAT_T0_00166,EV_Truck,EA
MAT_T4_00167,Graphite_Synth,KG
MAT_T4_00168,Copper_Foil,KG
MAT_T3_00169,Cell_Prismatic,EA
MAT_T3_00170,Cell_Cylindrical_4680,EA
MAT_T4_00171,Nickel_Class1,KG
MAT_T3_00172,Cell_Prismatic,EA
MAT_T3_00173,Cell_Prismatic,EA
MAT_T0_00174,EV_Truck,EA
MAT_T1_00175,Inverter_Assy,EA
MAT_T3_00176,Anode_Sheet,EA
MAT_T3_00177,Cell_Prismatic,EA
MAT_T4_00178,Graphite_Synth,KG
MAT_T1_00179,Battery_Pack_Std,EA
MAT_T4_00180,Lithium_Hydroxide,KG
MAT_T2_00181,Module_LFP,EA
MAT_T3_00182,Cell_Pouch,EA
MAT_T2_00183,BMS_Circuit,EA
MAT_T3_00184,Cell_Pouch,EA
MAT_T2_00185,BMS_Circuit,EA
MAT_T3_00186,Cell_Prismatic,EA
MAT_T4_00187,Copper_Foil,KG
MAT_T3_00188,Cell_Cylindrical_4680,EA
MAT_T3_00189,Cell_Pouch,EA
MAT_T4_00190,Copper_Foil,KG
MAT_T4_00191,Copper_Foil,KG
MAT_T3_00192,Cell_Prismatic,EA
MAT_T2_00193,Module_LFP,EA
MAT_T4_00194,Nickel_Class1,KG
MAT_T3_00195,Cell_Pouch,EA
MAT_T2_00196,Cooling_Plate,EA
MAT_T2_00197,Module_LFP,EA
MAT_T4_00198,Lithium_Hydroxide,KG
MAT_T0_00199,EV_Sedan,EA
MAT_T4_00200,Lithium_Hydroxide,KG
MAT_T1_00201,Battery_Pack_HighRange,EA
MAT_T4_00202,Graphite_Synth,KG
MAT_T3_00203,Cell_Prismatic,EA
MAT_T3_00204,Cell_Cylindrical_4680,EA
MAT_T4_00205,Graphite_Synth,KG
MAT_T3_00206,Cell_Prismatic,EA
MAT_T3_00207,Cell_Prismatic,EA
MAT_T0_00208,EV_Truck,EA
MAT_T0_00209,EV_Sedan,EA
MAT_T2_00210,BMS_Circuit,EA
MAT_T4_00211,Lithium_Hydroxide,KG
MAT_T1_00212,Battery_Pack_HighRange,EA
MAT_T1_00213,Battery_Pack_Std,EA
MAT_T3_00214,Cell_Pouch,EA
MAT_T3_00215,Cell_Pouch,EA
MAT_T4_00216,Lithium_Hydroxide,KG
MAT_T2_00217,BMS_Circuit,EA
MAT_T1_00218,Inverter_Assy,EA
MAT_T4_00219,Cobalt_Sulfate,KG
MAT_T2_00220,Module_LFP,EA
MAT_T4_00221,Lithium_Hydroxide,KG
MAT_T4_00222,Copper_Foil,KG
MAT_T4_00223,Cobalt_Sulfate,KG
MAT_T2_00224,BMS_Circuit,EA
MAT_T4_00225,Nickel_Class1,KG
MAT_T4_00226,Nickel_Class1,KG
MAT_T3_00227,Cell_Pouch,EA
MAT_T2_00228,Module_NMC,EA
MAT_T2_00229,BMS_Circuit,EA
MAT_T1_00230,Inverter_Assy,EA
MAT_T3_00231,Cell_Pouch,EA
MAT_T3_00232,Cell_Prismatic,EA
MAT_T3_00233,Cell_Pouch,EA
MAT_T3_00234,Cell_Cylindrical_4680,EA
MAT_T3_00235,Cell_Prismatic,EA
MAT_T3_00236,Cell_Cylindrical_4680,EA
MAT_T4_00237,Copper_Foil,KG
MAT_T2_00238,Module_NMC,EA
MAT_T3_00239,Cell_Pouch,EA
MAT_T1_00240,Battery_Pack_HighRange,EA
MAT_T3_00241,Cell_Cylindrical_4680,EA
MAT_T4_00242,Copper_Foil,KG
MAT_T4_00243,Copper_Foil,KG
MAT_T2_00244,Module_NMC,EA
MAT_T4_00245,Nickel_Class1,KG
MAT_T1_00246,Battery_Pack_Std,EA
MAT_T3_00247,Anode_Sheet,EA
MAT_T1_00248,Battery_Pack_HighRange,EA
MAT_T4_00249,Nickel_Class1,KG
MAT_T3_00250,Anode_Sheet,EA
MAT_T4_00251,Lithium_Hydroxide,KG
MAT_T4_00252,Cobalt_Sulfate,KG
MAT_T2_00253,BMS_Circuit,EA
MAT_T0_00254,EV_Truck,EA
MAT_T4_00255,Copper_Foil,KG
MAT_T2_00256,Module_NMC,EA
MAT_T1_00257,Battery_Pack_HighRange,EA
MAT_T3_00258,Cell_Pouch,EA
MAT_T3_00259,Anode_Sheet,EA
MAT_T0_00260,EV_Truck,EA
MAT_T2_00261,Module_NMC,EA
MAT_T0_00262,EV_Truck,EA
MAT_T3_00263,Cell_Cylindrical_4680,EA
MAT_T4_00264,Copper_Foil,KG
MAT_T4_00265,Nickel_Class1,KG
MAT_T3_00266,Anode_Sheet,EA
MAT_T2_00267,Cooling_Plate,EA
MAT_T4_00268,Cobalt_Sulfate,KG
MAT_T3_00269,Cell_Cylindrical_4680,EA
MAT_T2_00270,Cooling_Plate,EA
MAT_T4_00271,Graphite_Synth,KG
MAT_T4_00272,Cobalt_Sulfate,KG
MAT_T4_00273,Graphite_Synth,KG
MAT_T4_00274,Cobalt_Sulfate,KG
MAT_T2_00275,Module_LFP,EA
MAT_T2_00276,Module_LFP,EA
MAT_T4_00277,Copper_Foil,KG
MAT_T2_00278,Cooling_Plate,EA
MAT_T3_00279,Cell_Prismatic,EA
MAT_T4_00280,Graphite_Synth,KG
MAT_T4_00281,Copper_Foil,KG
MAT_T3_00282,Anode_Sheet,EA
MAT_T4_00283,Cobalt_Sulfate,KG
MAT_T4_00284,Nickel_Class1,KG
MAT_T4_00285,Lithium_Hydroxide,KG
MAT_T2_00286,Module_LFP,EA
MAT_T2_00287,BMS_Circuit,EA
MAT_T2_00288,Cooling_Plate,EA
MAT_T1_00289,Drive_Unit,EA
MAT_T2_00290,Cooling_Plate,EA
MAT_T2_00291,Cooling_Plate,EA
MAT_T3_00292,Anode_Sheet,EA
MAT_T4_00293,Nickel_Class1,KG
MAT_T1_00294,Battery_Pack_Std,EA
MAT_T4_00295,Cobalt_Sulfate,KG
MAT_T4_00296,Cobalt_Sulfate,KG
MAT_T1_00297,Inverter_Assy,EA
MAT_T4_00298,Lithium_Hydroxide,KG
MAT_T3_00299,Cell_Cylindrical_4680,EA
MAT_T3_00300,Anode_Sheet,EA
MAT_T4_00301,Copper_Foil,KG
MAT_T2_00302,Module_LFP,EA
MAT_T4_00303,Copper_Foil,KG
MAT_T0_00304,EV_Sedan,EA
MAT_T4_00305,Nickel_Class1,KG
MAT_T3_00306,Anode_Sheet,EA
MAT_T3_00307,Cell_Prismatic,EA
MAT_T2_00308,Module_LFP,EA
MAT_T4_00309,Copper_Foil,KG
MAT_T4_00310,Nickel_Class1,KG
MAT_T3_00311,Cell_Prismatic,EA
MAT_T3_00312,Cell_Prismatic,EA
MAT_T3_00313,Cell_Pouch,EA
MAT_T4_00314,Graphite_Synth,KG
MAT_T3_00315,Anode_Sheet,EA
MAT_T4_00316,Lithium_Hydroxide,KG
MAT_T4_00317,Graphite_Synth,KG
MAT_T3_00318,Cell_Pouch,EA
MAT_T2_00319,Module_LFP,EA
MAT_T3_00320,Cell_Pouch,EA
MAT_T4_00321,Nickel_Class1,KG
MAT_T2_00322,Module_NMC,EA
MAT_T3_00323,Cell_Cylindrical_4680,EA
MAT_T4_00324,Nickel_Class1,KG
MAT_T3_00325,Cell_Cylindrical_4680,EA
MAT_T3_00326,Cell_Prismatic,EA
MAT_T2_00327,Module_LFP,EA
MAT_T1_00328,Battery_Pack_HighRange,EA
MAT_T4_00329,Nickel_Class1,KG
MAT_T1_00330,Inverter_Assy,EA
MAT_T2_00331,BMS_Circuit,EA
MAT_T4_00332,Cobalt_Sulfate,KG
MAT_T2_00333,BMS_Circuit,EA
MAT_T4_00334,Cobalt_Sulfate,KG
MAT_T4_00335,Copper_Foil,KG
MAT_T2_00336,Module_LFP,EA
MAT_T0_00337,EV_Sedan,EA
MAT_T4_00338,Nickel_Class1,KG
MAT_T3_00339,Cell_Pouch,EA
MAT_T1_00340,Inverter_Assy,EA
MAT_T4_00341,Graphite_Synth,KG
MAT_T0_00342,EV_SUV,EA
MAT_T4_00343,Cobalt_Sulfate,KG
MAT_T1_00344,Battery_Pack_Std,EA
MAT_T1_00345,Battery_Pack_Std,EA
MAT_T2_00346,BMS_Circuit,EA
MAT_T4_00347,Copper_Foil,KG
MAT_T4_00348,Cobalt_Sulfate,KG
MAT_T4_00349,Lithium_Hydroxide,KG
MAT_T3_00350,Cell_Pouch,EA
MAT_T2_00351,BMS_Circuit,EA
MAT_T2_00352,BMS_Circuit,EA
MAT_T3_00353,Cell_Cylindrical_4680,EA
MAT_T3_00354,Cell_Pouch,EA
MAT_T3_00355,Anode_Sheet,EA
MAT_T2_00356,BMS_Circuit,EA
MAT_T4_00357,Cobalt_Sulfate,KG
MAT_T2_00358,Cooling_Plate,EA
MAT_T4_00359,Nickel_Class1,KG
MAT_T0_00360,EV_Truck,EA
MAT_T3_00361,Anode_Sheet,EA
MAT_T2_00362,Cooling_Plate,EA
MAT_T3_00363,Cell_Prismatic,EA
MAT_T3_00364,Cell_Pouch,EA
MAT_T3_00365,Cell_Prismatic,EA
MAT_T3_00366,Cell_Prismatic,EA
MAT_T4_00367,Lithium_Hydroxide,KG
MAT_T4_00368,Nickel_Class1,KG
MAT_T4_00369,Graphite_Synth,KG
MAT_T2_00370,Module_NMC,EA
MAT_T3_00371,Anode_Sheet,EA
MAT_T3_00372,Cell_Pouch,EA
MAT_T3_00373,Cell_Cylindrical_4680,EA
MAT_T3_00374,Anode_Sheet,EA
MAT_T2_00375,BMS_Circuit,EA
MAT_T1_00376,Battery_Pack_Std,EA
MAT_T2_00377,BMS_Circuit,EA
MAT_T1_00378,Battery_Pack_HighRange,EA
MAT_T4_00379,Graphite_Synth,KG
MAT_T4_00380,Graphite_Synth,KG
MAT_T4_00381,Lithium_Hydroxide,KG
MAT_T4_00382,Copper_Foil,KG
MAT_T1_00383,Drive_Unit,EA
MAT_T4_00384,Graphite_Synth,KG
MAT_T4_00385,Lithium_Hydroxide,KG
MAT_T3_00386,Cell_Pouch,EA
MAT_T3_00387,Cell_Pouch,EA
MAT_T4_00388,Cobalt_Sulfate,KG
MAT_T3_00389,Anode_Sheet,EA
MAT_T4_00390,Cobalt_Sulfate,KG
MAT_T1_00391,Battery_Pack_Std,EA
MAT_T2_00392,Module_NMC,EA
MAT_T3_00393,Anode_Sheet,EA
MAT_T3_00394,Cell_Cylindrical_4680,EA
MAT_T4_00395,Cobalt_Sulfate,KG
MAT_T4_00396,Graphite_Synth,KG
MAT_T3_00397,Cell_Cylindrical_4680,EA
MAT_T0_00398,EV_Sedan,EA
MAT_T4_00399,Graphite_Synth,KG
MAT_T3_00400,Cell_Prismatic,EA
MAT_T2_00401,Module_NMC,EA
MAT_T3_00402,Cell_Cylindrical_4680,EA
MAT_T4_00403,Nickel_Class1,KG
MAT_T4_00404,Cobalt_Sulfate,KG
MAT_T3_00405,Cell_Cylindrical_4680,EA
MAT_T2_00406,Module_NMC,EA
MAT_T4_00407,Nickel_Class1,KG
MAT_T4_00408,Cobalt_Sulfate,KG
MAT_T3_00409,Cell_Cylindrical_4680,EA
MAT_T2_00410,BMS_Circuit,EA
MAT_T4_00411,Cobalt_Sulfate,KG
MAT_T2_00412,Module_NMC,EA
MAT_T2_00413,Cooling_Plate,EA
MAT_T3_00414,Cell_Pouch,EA
MAT_T2_00415,Module_NMC,EA
MAT_T3_00416,Cell_Pouch,EA
MAT_T1_00417,Drive_Unit,EA
MAT_T4_00418,Copper_Foil,KG
MAT_T2_00419,Cooling_Plate,EA
MAT_T0_00420,EV_Truck,EA
MAT_T1_00421,Drive_Unit,EA
MAT_T4_00422,Copper_Foil,KG
MAT_T4_00423,Cobalt_Sulfate,KG
MAT_T2_00424,Module_LFP,EA
MAT_T4_00425,Graphite_Synth,KG
MAT_T3_00426,Cell_Pouch,EA
MAT_T4_00427,Lithium_Hydroxide,KG
MAT_T3_00428,Cell_Prismatic,EA
MAT_T4_00429,Graphite_Synth,KG
MAT_T1_00430,Inverter_Assy,EA
MAT_T3_00431,Cell_Prismatic,EA
MAT_T4_00432,Graphite_Synth,KG
MAT_T3_00433,Cell_Cylindrical_4680,EA
MAT_T2_00434,Cooling_Plate,EA
MAT_T1_00435,Inverter_Assy,EA
MAT_T4_00436,Graphite_Synth,KG
MAT_T3_00437,Cell_Cylindrical_4680,EA
MAT_T3_00438,Cell_Cylindrical_4680,EA
MAT_T4_00439,Nickel_Class1,KG
MAT_T0_00440,EV_SUV,EA
MAT_T2_00441,Cooling_Plate,EA
MAT_T4_00442,Cobalt_Sulfate,KG
MAT_T2_00443,BMS_Circuit,EA
MAT_T2_00444,Cooling_Plate,EA
MAT_T3_00445,Cell_Pouch,EA
MAT_T4_00446,Copper_Foil,KG
MAT_T1_00447,Battery_Pack_Std,EA
MAT_T4_00448,Nickel_Class1,KG
MAT_T4_00449,Cobalt_Sulfate,KG
MAT_T2_00450,Cooling_Plate,EA
MAT_T4_00451,Lithium_Hydroxide,KG
MAT_T3_00452,Anode_Sheet,EA
MAT_T3_00453,Anode_Sheet,EA
MAT_T4_00454,Cobalt_Sulfate,KG
MAT_T4_00455,Copper_Foil,KG
MAT_T1_00456,Battery_Pack_Std,EA
MAT_T3_00457,Cell_Cylindrical_4680,EA
MAT_T3_00458,Cell_Prismatic,EA
MAT_T3_00459,Anode_Sheet,EA
MAT_T3_00460,Anode_Sheet,EA
MAT_T1_00461,Drive_Unit,EA
MAT_T4_00462,Graphite_Synth,KG
MAT_T3_00463,Cell_Cylindrical_4680,EA
MAT_T2_00464,Cooling_Plate,EA
MAT_T4_00465,Copper_Foil,KG
MAT_T4_00466,Graphite_Synth,KG
MAT_T3_00467,Cell_Pouch,EA
MAT_T2_00468,BMS_Circuit,EA
MAT_T3_00469,Anode_Sheet,EA
MAT_T2_00470,Module_NMC,EA
MAT_T2_00471,Module_LFP,EA
MAT_T4_00472,Lithium_Hydroxide,KG
MAT_T0_00473,EV_Sedan,EA
MAT_T1_00474,Inverter_Assy,EA
MAT_T0_00475,EV_Sedan,EA
MAT_T2_00476,Cooling_Plate,EA
MAT_T1_00477,Battery_Pack_HighRange,EA
MAT_T4_00478,Cobalt_Sulfate,KG
MAT_T2_00479,Module_LFP,EA
MAT_T1_00480,Battery_Pack_HighRange,EA
MAT_T2_00481,BMS_Circuit,EA
MAT_T4_00482,Cobalt_Sulfate,KG
MAT_T3_00483,Cell_Prismatic,EA
MAT_T3_00484,Cell_Prismatic,EA
MAT_T4_00485,Graphite_Synth,KG
MAT_T3_00486,Cell_Prismatic,EA
MAT_T2_00487,BMS_Circuit,EA
MAT_T2_00488,Module_LFP,EA
MAT_T3_00489,Cell_Pouch,EA
MAT_T2_00490,BMS_Circuit,EA
MAT_T4_00491,Cobalt_Sulfate,KG
MAT_T2_00492,Module_NMC,EA
MAT_T3_00493,Cell_Cylindrical_4680,EA
MAT_T1_00494,Drive_Unit,EA
MAT_T2_00495,Module_NMC,EA
MAT_T3_00496,Cell_Cylindrical_4680,EA
MAT_T4_00497,Copper_Foil,KG
MAT_T3_00498,Cell_Cylindrical_4680,EA
MAT_T4_00499,Cobalt_Sulfate,KG
MAT_T2_00500,Module_LFP,EA
MAT_T1_00501,Inverter_Assy,EA
MAT_T1_00502,Battery_Pack_Std,EA
MAT_T2_00503,BMS_Circuit,EA
MAT_T2_00504,Module_NMC,EA
MAT_T2_00505,Module_NMC,EA
MAT_T4_00506,Cobalt_Sulfate,KG
MAT_T0_00507,EV_SUV,EA
MAT_T3_00508,Cell_Cylindrical_4680,EA
MAT_T3_00509,Anode_Sheet,EA
MAT_T3_00510,Cell_Pouch,EA
MAT_T3_00511,Anode_Sheet,EA
MAT_T2_00512,Module_LFP,EA
MAT_T2_00513,Module_LFP,EA
MAT_T4_00514,Copper_Foil,KG
MAT_T4_00515,Copper_Foil,KG
MAT_T2_00516,Module_LFP,EA
MAT_T1_00517,Inverter_Assy,EA
MAT_T4_00518,Cobalt_Sulfate,KG
MAT_T2_00519,Module_LFP,EA
MAT_T3_00520,Cell_Prismatic,EA
MAT_T3_00521,Cell_Cylindrical_4680,EA
MAT_T1_00522,Battery_Pack_HighRange,EA
MAT_T3_00523,Cell_Cylindrical_4680,EA
MAT_T3_00524,Cell_Cylindrical_4680,EA
MAT_T2_00525,Module_LFP,EA
MAT_T3_00526,Cell_Prismatic,EA
MAT_T4_00527,Copper_Foil,KG
MAT_T3_00528,Anode_Sheet,EA
MAT_T1_00529,Battery_Pack_Std,EA
MAT_T3_00530,Cell_Prismatic,EA
MAT_T4_00531,Graphite_Synth,KG
MAT_T4_00532,Cobalt_Sulfate,KG
MAT_T3_00533,Cell_Prismatic,EA
MAT_T2_00534,Module_NMC,EA
MAT_T4_00535,Graphite_Synth,KG
MAT_T4_00536,Lithium_Hydroxide,KG
MAT_T0_00537,EV_Truck,EA
MAT_T3_00538,Cell_Cylindrical_4680,EA
MAT_T2_00539,Module_LFP,EA
MAT_T4_00540,Nickel_Class1,KG
MAT_T2_00541,Module_LFP,EA
MAT_T3_00542,Cell_Pouch,EA
MAT_T4_00543,Copper_Foil,KG
MAT_T4_00544,Graphite_Synth,KG
MAT_T4_00545,Lithium_Hydroxide,KG
MAT_T4_00546,Nickel_Class1,KG
MAT_T0_00547,EV_Sedan,EA
MAT_T3_00548,Anode_Sheet,EA
MAT_T3_00549,Cell_Prismatic,EA
MAT_T4_00550,Nickel_Class1,KG
MAT_T2_00551,BMS_Circuit,EA
MAT_T4_00552,Copper_Foil,KG
MAT_T3_00553,Anode_Sheet,EA
MAT_T4_00554,Copper_Foil,KG
MAT_T1_00555,Battery_Pack_Std,EA
MAT_T2_00556,Module_NMC,EA
MAT_T4_00557,Copper_Foil,KG
MAT_T0_00558,EV_Truck,EA
MAT_T4_00559,Lithium_Hydroxide,KG
MAT_T0_00560,EV_SUV,EA
MAT_T4_00561,Nickel_Class1,KG
MAT_T3_00562,Cell_Prismatic,EA
MAT_T3_00563,Cell_Pouch,EA
MAT_T4_00564,Graphite_Synth,KG
MAT_T2_00565,Cooling_Plate,EA
MAT_T1_00566,Inverter_Assy,EA
MAT_T1_00567,Battery_Pack_HighRange,EA
MAT_T3_00568,Cell_Pouch,EA
MAT_T3_00569,Cell_Pouch,EA
MAT_T4_00570,Graphite_Synth,KG
MAT_T3_00571,Cell_Pouch,EA
MAT_T3_00572,Cell_Prismatic,EA
MAT_T3_00573,Cell_Cylindrical_4680,EA
MAT_T0_00574,EV_SUV,EA
MAT_T2_00575,Module_LFP,EA
MAT_T4_00576,Cobalt_Sulfate,KG
MAT_T4_00577,Lithium_Hydroxide,KG
MAT_T2_00578,Cooling_Plate,EA
MAT_T3_00579,Cell_Pouch,EA
MAT_T4_00580,Lithium_Hydroxide,KG
MAT_T3_00581,Cell_Prismatic,EA
MAT_T0_00582,EV_Sedan,EA
MAT_T1_00583,Battery_Pack_HighRange,EA
MAT_T3_00584,Cell_Pouch,EA
MAT_T4_00585,Cobalt_Sulfate,KG
MAT_T4_00586,Nickel_Class1,KG
MAT_T1_00587,Inverter_Assy,EA
MAT_T2_00588,Module_LFP,EA
MAT_T4_00589,Lithium_Hydroxide,KG
MAT_T4_00590,Nickel_Class1,KG
MAT_T3_00591,Cell_Cylindrical_4680,EA
MAT_T3_00592,Cell_Pouch,EA
MAT_T0_00593,EV_Sedan,EA
MAT_T4_00594,Lithium_Hydroxide,KG
MAT_T4_00595,Graphite_Synth,KG
MAT_T2_00596,Cooling_Plate,EA
MAT_T4_00597,Cobalt_Sulfate,KG
MAT_T2_00598,Module_LFP,EA
MAT_T0_00599,EV_Truck,EA
MAT_T2_00600,Cooling_Plate,EA
MAT_T2_00601,Module_NMC,EA
MAT_T2_00602,BMS_Circuit,EA
MAT_T3_00603,Cell_Pouch,EA
MAT_T3_00604,Anode_Sheet,EA
MAT_T3_00605,Cell_Cylindrical_4680,EA
MAT_T2_00606,Module_NMC,EA
MAT_T0_00607,EV_Truck,EA
MAT_T3_00608,Cell_Prismatic,EA
MAT_T3_00609,Anode_Sheet,EA
MAT_T2_00610,Module_NMC,EA
MAT_T4_00611,Graphite_Synth,KG
MAT_T4_00612,Copper_Foil,KG
MAT_T4_00613,Cobalt_Sulfate,KG
MAT_T3_00614,Anode_Sheet,EA
MAT_T1_00615,Inverter_Assy,EA
MAT_T4_00616,Cobalt_Sulfate,KG
MAT_T2_00617,Module_LFP,EA
MAT_T3_00618,Anode_Sheet,EA
